I'm saying no.	Estou dizendo que não.
Have you had breakfast yet?	Você já tomou café da manhã?
I stabbed Tom.	Eu apunhalei Tom.
There are many parks in Boston.	Há muitos parques em Boston.
Tom told the police I was the one who had stolen his bicycle.	Tom disse à polícia que foi eu quem roubou sua bicicleta.
Tom is standing outside the door.	Tom está do lado de fora da porta.
He doesn't have a job.	Ele está sem emprego.
Do I have to do that?	Tenho que fazer isso?
Tom put a bandage on Mary's arm.	Tom colocou um curativo no braço de Maria.
Yes, we will help you.	Sim, vamos ajudá-la.
Fourteen plus forty-one is fifty-five. Fifteen plus fifty-one is sixty-six.	Quatorze mais quarenta e um são cinquenta e cinco. Quinze mais cinquenta e um são sessenta e seis.
Why haven't you told your parents?	Por que você não contou para os seus pais?
I'm worried about them.	Estou preocupado com elas.
The streets are not safe at night.	As ruas não são seguras de noite.
I've narrowed the choices to four.	Reduzi as escolhas para quatro.
Why do you care so much about my life?	Por quê você se preocupa tanto com a minha vida?
Have you ever written a letter to Mary?	Você já escreveu uma carta a Maria?
Do you still have it?	Ele ainda está contigo?
What happened to my suitcase?	O que aconteceu com minha mala?
I've learned a lot about astronomy from Tom.	Eu aprendi muito sobre astronomia com Tom.
Abrams left it to Browne to bark.	Abrams deixou Browne latir.
We're surprised.	Nós estamos surpresos.
I'm sure Tom would agree with me.	Eu tenho certeza de que o Tom concordaria comigo.
That kind of complicates things.	Esse meio que complica as coisas.
I call myself “Tom”.	"Eu me chamo ""Tom""."
I wonder if Tom is still unconvinced.	Eu me pergunto se Tom ainda não está convencido.
I want to live with my wife.	Quero viver com minha esposa.
I wish I could speak English so well.	Quem me dera eu falar inglês tão bem.
You've lost a lot of blood.	Você perdeu muito sangue.
I sent her a doll.	Eu mandei uma boneca para ela.
There were a desk and a chair in the room.	Havia uma escrivaninha e uma cadeira na sala.
Tom is unlucky.	Tom é azarado.
They used to look up to their father.	Eles costumavam olhar o pai com respeito.
You owe me a favor.	Vocês me devem um favor.
Fadil couldn't marry a woman who wasn't Muslim.	Fadil não podia se casar com uma mulher que não fosse muçulmana.
You have to be quick.	Você tem de ser rápida.
I think you should get to know Tom.	Eu acho que tu deverias conhecer o Tom.
I used to like Tom a lot.	Eu gostava muito de Tom.
Were it not for your help, I could never succeed.	Se não fosse por sua ajuda, eu nunca teria conseguido.
You look fine!	Você parece ótima.
After it stopped raining, she went out for a walk.	Depois que parou de chover, ela saiu para dar uma caminhada.
English is a required class.	Inglês é uma aula obrigatória.
I live and work in Australia.	Eu moro e trabalho na Austrália.
Tom was wearing a kilt.	Tom estava usando um saiote.
You were cheating.	Você estava trapaceando.
Do you find this interesting to translate?	Você acha isso interessante para traduzir?
It looks like something's going to happen.	Parece que algo está para acontecer.
I'll introduce you to the team.	Vou te apresentar para o time.
We're going to do that.	Vamos fazer isso.
The patients participating in the drug trial don't know if they're receiving the drug or the placebo.	Os pacientes que participam do teste da droga não sabem se eles a estão recebendo ou a um placebo.
We're your friends, Tom.	Somos seus amigos, Tom.
Tom sat on his bed.	Tom se sentou na cama dele.
You're the only one Tom will talk to.	Você é o único com quem Tom vai falar.
Tom sat at the bar drinking with his buddies.	Tom se sentou no bar e bebeu com seus colegas.
Tom didn't even know Mary back then.	Tom nem conhecia Mary naquela época.
Reading is not boring. It's cool.	Ler não é chato; é legal.
I already did that.	Eu já fiz.
Children, we're eating.	Crianças, estamos comendo.
Tom doesn't know you as well as I do.	Tom não te conhece tão bem quanto eu.
I'm looking for my keys.	Estou procurando minhas chaves.
Tom is very sophisticated.	Tom é muito sofisticado.
You must know him very well.	Vocês devem conhecê-lo muito bem.
He does not, in short, write with the candor of a man who is completely confident of his thesis.	Ele não, para encurtar, escreve com a sinceridade de um homem que é completamente confiante na tese dele.
I'm really depressed.	Eu estou muito deprimido.
My son's rubber duck is yellow.	O pato de borracha do meu filho é amarelo.
There are some things in this world that can't be explained by words alone.	Tem coisas no mundo que simplesmente não se pode esclarecer por palavras.
Tom has been arrested three times.	Tom foi preso três vezes.
Tom was timid.	Tom era tímido.
It's hard to imagine.	É difícil imaginar.
I don't feel like doing anything, and I'm not getting up to turn on the fan.	Eu não estou com vontade de fazer alguma coisa, e eu não vou levantar para ligar o ventilador.
Did you buy some potatoes?	Você comprou batatas?
You may not have to go.	Talvez você não tenha de ir.
I've begun doing that.	Eu já comecei a fazer isso.
Why did you quit?	Por que você saiu?
Eris is about 2400 kilometers wide.	Éris possui cerca de 2400 quilômetros de diâmetro.
How did you get to know each other?	Como travaram conhecimento um com outro?
Is there any problem?	Existe algum problema?
Tom doesn't like modern architecture.	Tom não gosta de arquitetura moderna.
How many times have you been in love in your life?	Quantas vezes você esteve apaixonado em sua vida?
The motor does not function properly.	O motor não funciona adequadamente.
Here's a photo of her.	Aqui está uma foto dela.
I still make many mistakes.	Ainda cometo muitos erros.
How many states are there in his country?	Quantos estados existem no país dele?
I don't care for that sort of thing.	Eu não ligo para esse tipo de coisa.
It is not only the quantity of atoms, but the quantity of worlds that is infinite in the universe.	Não é somente a quantidade de átomos que é infinita no universo, mas também a quantidade de mundos.
I'll stay with my uncle in Boston.	Eu vou ficar com o meu tio em Boston.
I'm still trying to convince Tom to help us.	Eu ainda estou tentando convencer a Tom nos ajudar.
The group is still performing. Why are you leaving?	O grupo ainda está se apresentando. Por que você está indo embora?
He is a man of few words, but he always keeps his promise.	Ele é um homem de poucas palavras, mas sempre cumpre suas promessas.
Did you go to see Tom?	Você foi ver o Tom?
Both her parents come from Brazil. She is a daughter of Brazilians.	Ambos os seus pais vêm do Brasil. Ela é filha de brasileiros.
You may choose any of them.	Você pode escolher qualquer um.
He was caught in an ambush.	Ele foi pego numa emboscada.
Do you have a map of the city?	Você tem um mapa da cidade?
I eventually got used to it.	Eu finalmente me acostumei com isso.
It looks fantastic.	Parece genial.
Why don't we go out and get something to eat?	Por que não saímos e compramos alguma coisa para comer?
Our temple is beautiful.	Nosso templo é belo.
Who says Tom isn't a stand-up guy?	Quem disse que Tom não é um cara pra cima?
Have you written all the New Year's cards already?	Vocês já escreveram todos os cartões de Boas Festas?
My brother is eating an egg.	Meu irmão está comendo um ovo.
It's great that you like to be good, to grow, to evolve; however, doing it at the cost of others or undervaluing his or her work is unforgivable. Who commits it is, in fact, in decadence rather than ascension.	É ótimo você querer ser bom, crescer, evoluir; porém, é imperdoável tanto fazer isso as custas do outro ou desvalorizando o trabalho dele ou dela. Quem faz isso, na verdade, está em decadência, não em ascensão.
Yanni's driving teacher is so fun.	O professor de direção de Yanni é muito divertido.
His theory is based on many facts.	A teoria dele está baseada em vários fatos.
Tom thought that Mary might kill herself.	Tom pensou que Mary poderia se matar.
Who cares what Tom did?	Quem se importa com o que o Tom fez?
We've had very bad luck.	Temos tido muito azar.
Are you in this picture?	O senhor está nesta foto?
We need to tell Tom about that now.	Precisamos contar ao Tom sobre isso agora.
I too like apples.	Também gosto de maçãs.
They used to sell eggs here.	Eles costumavam vender ovos aqui.
Tom is going to be punished.	Tom será punido.
I got very excited.	Eu fiquei muito entusiasmado.
Believe those who are seeking the truth. Doubt those who find it.	Acredite naqueles que estão buscando a verdade. Duvide dos que a encontram.
You'll have to come tomorrow.	Você terá de voltar amanhã.
I need some food.	Preciso comer alguma coisa.
They went in search of happiness.	Eles saíram em busca da felicidade.
It's too hot! The snowman is going to disappear soon!	Está muito quente! O boneco de neve vai logo desaparecer!
The teachers greeted the little boys.	Os professores saudaram os garotos.
The cat was purring.	O gato estava ronronando.
Many women around the world do not have the power to refuse sex or require their partners to use condoms, so public health officials have been seeking an odorless, tasteless compound a woman could apply privately to block HIV infection.	Muitas mulheres no mundo inteiro não têm o poder de recusar fazer sexo ou exigir que os seus parceiros usem preservativos, pelo que as autoridades de saúde pública têm estado à procura de uma substância inodora e insípida que uma mulher pudesse aplicar intimamente para impedir a infeção pelo VIH.
I spoke to Tom myself.	Falei eu mesma com Tom.
You guys should be more careful.	Vocês deveriam ser mais cuidadosos.
Can I get you a pillow?	Posso pegar um travesseiro para você?
Tom wants to break up with Mary.	Tom quer romper com Maria.
Layla was having breakfast.	Leila estava tomando o café da manhã.
Piss off!	Vai te catar!
Tom knows a girl named Mary.	Tom conhece uma menina chamada Maria.
I'm a busy man.	Sou um homem ocupado.
Do you have mangoes?	Vocês têm mangas?
Tom and Mary were laughing at you.	Tom e Maria estavam rindo de você.
Where will you go for vacation?	Onde você irá nas férias?
I really think that you shouldn't do that.	Na verdade, acho que você não deveria fazer isso.
That sounds reasonable.	Isso soa razoável.
Jupiter is a large gas planet whose clouds change colors daily.	Júpiter é um grande planeta gasoso cujas nuvens mudam de cor diariamente.
Tom trusts him.	O Tom confia nele.
Tom didn't seem to know what he had to do.	Tom não parecia saber o que ele tinha que fazer.
None of us is perfect.	Ninguém é perfeito.
We all know you.	Todos nós te conhecemos.
How many times has Tom called?	Quantas vezes Tom ligou?
Layla looks awfully pretty today.	Leila está extraordinariamente bela hoje.
I want to ask you for forgiveness.	Eu quero te pedir perdão.
