Fly!	Voe!
Do it for Tom.	Façam isso pelo Tom.
She kept crying all night.	Ela continuou chorando a noite toda.
I'd like to go to London.	Gostaria de ir para Londres.
That horror movie was very scary and I couldn't sleep after watching it.	Esse filme de terror estava muito assustador, e eu não consegui dormir depois de assistir a ele.
Let’s go to the movies!	Vamos ao cinema!
That's only half the story.	Essa é só metade da história.
It isn't easy to write a love letter in English.	Não é fácil escrever uma carta de amor em inglês.
I'm running away.	Estou fugindo.
I should've thought of it earlier.	Deveria ter pensado nisso antes.
I can't believe anyone anymore.	Não posso mais acreditar em ninguém.
Tom is probably not ready.	Tom provavelmente não está pronto.
Let me show you a better way do that.	Deixa que eu te mostre um modo melhor de fazer isso.
Do you have one a little bigger than these?	Você tem um que seja um pouco maior do que estes?
Sami parked.	Sami estacionou.
Tom drew a picture of a dog.	Tom desenhou um cachorro.
The engine works well.	O motor funciona bem.
It's a very good plan.	É um plano muito bom.
She went inside the door.	Ela entrou pela porta.
I know where you want to go.	Eu sei para onde você quer ir.
You say that I'll do that.	Você diz que eu farei isso.
It's a fact of life.	É um fato da vida.
You remember Tom, don't you?	Você se lembra do Tom, não se lembra?
Have you shown this to Tom already?	Você já mostrou isto ao Tom?
Why does she apply olive oil on her lashes?	Por que ela põe azeite de oliva nas pestanas?
I installed a new software program yesterday on my computer.	Ontem eu instalei um programa novo no meu computador.
Tom exercised.	Tom se exercitou.
They study in the afternoon.	Eles estudam no período da tarde.
You don't seem too happy to see me.	Você não parece muito feliz em me ver.
They say he was a musician when he was young.	Dizem que ele era músico quando jovem.
I hope that it'll be fine tomorrow.	Eu espero que tudo fique bem amanhã.
I said good night.	Eu disse boa noite.
Tom couldn't do what he wanted to.	Tom não podia fazer o que queria.
I'd like for you to leave.	Eu gostaria que você fosse embora.
The engine started again.	O motor religou.
She talked to the chairman.	Ela falou com o presidente.
What will you have to drink?	O que você quer beber?
I'm not narrow-minded.	Eu não sou intolerante.
Why weren't you paying attention in class?	Por que você não estava prestando atenção na aula?
You have to hurry up so you'd catch the last train.	Você deve se apressar para pegar o último trem.
Tom stumbled and fell backward.	Tom tropeçou e caiu para trás.
Tom arrived in Boston at 2:30.	O Tom chegou em Boston às 2:30.
Does she belong to the tennis club?	Ela faz parte do clube de tênis?
Do you know that scene, when he was playing?	Sabe aquela cena, quando ele estava jogando?
Do you have to go?	Vocês tem de ir?
I'm sorry, I don't speak French.	Sinto muito mas não falo francês.
However hard you try, you can't finish it in a week or so.	Não importa o quanto você tente, você não vai conseguir terminar em uma semana.
Tom can drive now.	Tom sabe dirigir agora.
Could you do me a favour?	Você poderia me fazer um favor?
Tom looked appalled.	Tom parecia horrorizado.
I know Tom personally.	Conheço Tom pessoalmente.
Come have dinner with me.	Vem jantar comigo.
Mary is wearing earrings.	Maria está usando brincos.
She left her keys in the car.	Ela deixou as chaves dela no carro.
I could not but suspect that there was something behind it.	Eu só podia suspeitar de que havia alguma coisa por trás disso.
What is he hiding?	O que ele está ocultando?
Does Tom do that every day?	O Tom faz isso todos os dias?
I like our new French teacher.	Gosto do nosso novo professor de francês.
No one shouted.	Ninguém gritou.
He trusted you.	Ele confiou em ti.
You looked like you were enjoying yourself.	Parecia que você estava se divertindo.
You didn't do anything wrong.	Você não fez nada de errado.
I think that someone's knocking on the door.	Eu acho que alguém está batendo na porta.
Tom doesn't like apples, does he?	Tom não gosta de maçãs, não é?
Your threats don't frighten me.	Suas ameaças não me assustam.
He supposes that you will book seats.	Ele supõe que você reservará assentos.
At a pinch, one could say that he is a good president!	Em caso de emergência, poderia ser dito que ele é um bom presidente!
Causes of GI bleeding include gastric ulcers, artery or vein (arteriovenous) malformations, diverticulosis, cancer or inflammatory bowel disease.	As causas de hemorragia gastrointestinal incluem úlceras gástricas, malformações das artérias ou veias (arteriovenosas), diverticulose, cancro ou doença inflamatória intestinal.
I regret saying that.	Eu lamento dizer isso.
Tom said not to worry about him.	O Tom disse para não nos preocupar com ele.
If there were beings on other planets, what would they look like?	Se existissem seres vivos noutros planetas, qual seria a aparência deles?
It took a long time for me to get accustomed to the Venezuelan accent.	Demorou muito tempo para eu me acostumar com o sotaque venezuelano.
She forgave him for killing her father.	Ela o perdoou por matar seu pai.
Won't anyone tell me what's going on around here?	Ninguém vai me dizer o que está acontecendo aqui?
Layla just got crazy.	Layla ficou preguiçosa.
How can I change your mind?	Como posso fazê-lo mudar de ideia?
Why is he hiding?	Por que ele está se escondendo?
Do not accept the world as it is.	Não aceite o mundo como ele é.
His eyes are bigger than his stomach.	Seus olhos são maiores que seu estômago.
Why are you waiting outside?	Por que você está esperando aí fora?
A new bridge is being built over the river.	Uma nova ponte está sendo construída sobre o rio.
Mary likes Brazilian food.	Mary gosta de comida brasileira.
Halley's Comet comes round once every eighty years.	O cometa Halley aparece uma vez a cada 80 anos.
He's one who might cause us some problems.	Ele é uma das pessoas que nos podem causar alguns problemas.
That's why I'm telling you not to go alone.	É por isso que eu estou dizendo para você não ir sozinho.
He's okay.	Ele está bem.
We often play tennis together.	Nós jogamos tênis juntos com frequência.
Imagine if you started hiccoughing and you couldn't stop.	Imagine se você começasse a soluçar e não conseguisse parar.
I like it when you sing.	Gosto quando você canta.
You're not the only one who needs help.	Você não é o único que precisa de ajuda.
I can't work in the dark like this.	Eu não posso trabalhar no escuro assim.
Tom loves reading.	Tom adora ler.
It is a disease that can't be prevented.	É uma doença da qual não há como se prevenir.
What did you write?	O que você escreveu?
We need to go back.	Precisamos voltar.
How can I convince you?	Como posso convencê-la?
Tom and Mary work together.	Tom e Maria trabalham juntos.
We're extroverted.	Nós somos extrovertidos.
It worked for me.	Funcionou para mim.
It didn't work out, did it?	Não deu certo, não foi?
They called me.	Elas me chamaram.
I've already caused Tom a lot of trouble.	Eu já causei ao Tom muitos problemas.
Mary's still not allowed to have visitors.	Mary ainda não pode receber visitas.
He will walk.	Ele vai caminhar.
Don't be too hard on them.	Não seja duro demais com eles.
What time do you think he'll come back?	A que horas você acha que ele vai voltar?
You should try spending most of your time doing something you enjoy.	Você deve tentar gastar a maior parte do seu tempo fazendo algo que você aprecie.
Spiders wait for insects to become entangled in their nets. That's how they get their food.	As aranhas esperam por insetos serem entrelaçados nas teias. É assim que conseguem a sua comida.
Tom asked me whether I knew how to do that.	Tom me perguntou se eu sabia como fazer isso.
Nobody has managed to survive.	Ninguém conseguiu sobreviver.
Tom and Mary are popular.	Tom e Mary são populares.
What do you think Tom is going to do?	O que você acha que o Tom vai fazer?
Don't cry! I'll buy you a new one.	Não chore! Vou comprar outro para você.
"How do you say ""kaisha"" in English?"	"Como se diz ""kaisha"" em inglês?"
I don't know what you mean.	Eu não sei o que você quis dizer.
I'll demonstrate how this machine works.	Demonstrarei como esta máquina funciona.
Mary steals stuff.	Mary rouba.
I recognize him, but I don't remember his name.	Eu o reconheço, mas não lembro o nome dele.
A good change can never come too late.	Uma boa mudança é sempre oportuna.
Should I go?	Devo ir?
We will be able to breed cows and sheep, for example.	Seremos capazes de criar vacas e ovelhas, por exemplo.
This word is derived from Greek.	Essa palavra vem do grego.
You did this, didn't you?	Vocês fizeram isso, não fizeram?
Brasil is the largest human genetics laboratory in the world.	O Brasil é o maior laboratório genético humano do mundo.
She got happy.	Ela ficou feliz.
I was absolutely terrified.	Estava absolutamente aterrorizado.
I don't like being treated like this.	Não gosto de ser tratado assim.
Don't leave until we get there.	Não saia até que cheguemos lá.
This dress looks great on you.	Esse vestido ficou ótimo em você.
It's been a good day.	Foi um dia bom.
Tom isn't sure where Mary parked her car.	Tom não tem certeza de onde Mary estacionou o carro.
Do they really care?	Eles realmente ligam?
Where did you take Tom?	Para onde você levou Tom?
I heard that he was very rich.	Ouvi falar que ele é muito rico.
Do dolphins really sleep with one eye open?	Os golfinhos realmente dormem com um olho aberto?
"My name is not ""You guys""."	"Eu não me chamo ""pessoal""."
They are always enemies.	Elas são sempre inimigas.
Reorient or relocate the receiving antenna.	Redirecione ou altere o local da antena receptora.
Tom was brought up in a rich family.	Tom foi criado em uma família rica.
He was not willing to go to the doctor.	Ele não estava com vontade de ir ao médico.
Tom has already gone to sleep.	O Tom já está dormindo.
There is no point in studying if you are feeling tired.	Não há razão em estudar se você estiver se sentindo cansada.
Can I have a look at your newspaper?	Posso ver seu jornal?
I want it.	Quero isso.
I should have married your sister.	Eu deveria ter me casado com tua irmã.
We were trying to help Tom.	Nós estávamos tentando ajudar Tom.
I have no idea what that guy is thinking.	Eu não tenho nenhuma idéia do que esse cara está pensando.
Instead of changing unnatural-sounding, yet correct sentences, Tatoeba prefers that you leave these and add an alternate translation.	Em vez de alterar sentenças não naturais, mas corretas, Tatoeba prefere que você as deixe e adicione uma tradução alternativa.
You'd be able to do the puzzle if only you had a little bit more patience.	Você seria capaz de resolver o quebra-cabeça se você tivesse um pouquinho mais de paciência.
I never thought it would be so easy.	Nunca achei que seria tão fácil.
I'm sympathetic.	Eu sou compreensivo.
